Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score (Bio),"Diff (Bio, mDa)","Diff (Bio, ppm)",Uncertainty,Fit Score,Enzyme,Hits (Bioconfirm),Links,Seq Loc,Rule,Missed,Mods,Significance,Pred Mods,Sequence,Seq Name,Seq Type,Tgt Seq Mass,AGILENTID,CAS,Compound ID,Name,Cpd,HMP,KEGG,Label,LMP,METLIN,MPPID,NCBI ID,Notes,Swiss-Prot,Hits (DB),Mass (DB),"Diff (DB, mDa)",Formula (DB),"Diff (DB, ppm)",RT (DB),RT Diff (DB),Score (DB),Shared (DB),Unique (DB),"Diff (MFG, mDa)",Mass (MFG),Formula (MFG),"Diff (MFG, ppm)",Score (MFG),Tgt Hit Pos,Score Diff,Abund,Algorithm,Area,Avg Mass,Base Peak,Z Count,CE,MS/MS Count,File,End,Formula,FV,Height,ID Source,ID Techniques Applied,Ions,Polarity,Max Z,Min Z,Modified,Mass,Score,m/z,m/z (prod.),Quality Score,RT,Saturated,Start,Width,Library,Score (Lib),Cpds/Group,Group,Std Dev,Vol %,Vol,Primary Base,Primary Note,ADC% Area,ADC% Height,EIC/TIC% Area,EIC/TIC% Height,TIC% Area,TIC% Height,TWC% Area,TWC% Height,UVA% Area,UVA% Height,UVB% Area,UVB% Height,UVC% Area,UVC% Height,Purity Comments,Purity Result,Purity Value,FIs Conf.,FIs Conf. %,FIs Eval.,Source,"Diff (Tgt, mDa)",Formula (Tgt),"Diff (Tgt, ppm)",RT (Tgt),RT Diff (Tgt),Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),Sample Name,Sample Type,Instrument Name,Position,User Name,IRM Calibration status
,,,,,,,,,,,,,,,,,,,,,,54,,,Cpd 54: 1034.9950,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1035.2264,1033.9877,1,,,20140420-298.d,2.074,,,34317,,,3,Negative,-1,-1,,1034.995,,1033.9877,,75,1.715,,1.41,0.338,,,4,16,,0.21,907882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,55,,,Cpd 55: 893.1730,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,893.5421,892.1657,2,,,20140420-298.d,2.19,,,8229,,,5,Negative,-1,-2,,893.173,,892.1657,,100,1.715,,1.543,0.293,,,4,16,0.0001,0.05,209798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,56,,,Cpd 56: 915.1544,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,915.4519,914.1471,1,,,20140420-298.d,1.841,,,1429,,,2,Negative,-1,-1,,915.1544,,914.1471,,100,1.731,,1.576,0.167,,,4,16,,0,20284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,57,,,Cpd 57: 347.0626,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,347.2116,346.0553,1,,,20140420-298.d,2.007,,,2281,,,2,Negative,-1,-1,,347.0626,,346.0553,,100,1.846,,1.725,0.166,,,1,17,,0.01,25888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,58,,,Cpd 58: 310.0122,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,310.1997,309.0049,1,,,20140420-298.d,2.19,,,2741,,,2,Negative,-1,-1,,310.0122,,309.0049,,100,1.949,,1.609,0.295,,,1,18,,0.01,61415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,59,,,Cpd 59: 417.9917,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,418.4584,416.9844,1,,,20140420-298.d,2.72,,,4550,,,3,Negative,-1,-1,,417.9917,,416.9844,,94.4,1.977,,1.593,0.524,,,2,19,,0.04,167605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,60,,,Cpd 60: 525.9716,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,526.2334,524.9643,1,,,20140420-298.d,2.472,,,1137,,,2,Negative,-1,-1,,525.9716,,524.9643,,83.7,1.977,,1.692,0.443,,,2,19,,0.01,26923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,61,,,Cpd 61: 375.9939,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,376.3835,374.9866,1,,,20140420-298.d,2.72,,,2841,,,3,Negative,-1,-1,,375.9939,,374.9866,,91.1,2.025,,1.609,0.554,,,2,20,,0.02,99324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,62,,,Cpd 62: 333.9875,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,334.1095,332.9803,1,,,20140420-298.d,2.604,,,2386,,,2,Negative,-1,-1,,333.9875,,332.9803,,100,2.041,,1.792,0.467,,,2,20,,0.01,59124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,63,,,Cpd 63: 325.9900,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,326.1253,324.9827,1,,,20140420-298.d,2.886,,,12010,,,3,Negative,-1,-1,,325.99,,324.9827,,93.6,2.08,,1.576,0.744,,,1,21,,0.12,504061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,64,,,Cpd 64: 433.9690,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,434.1018,432.9617,1,,,20140420-298.d,2.704,,,2405,,,2,Negative,-1,-1,,433.969,,432.9617,,80.2,2.232,,1.908,0.486,,,2,22,,0.02,63558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,65,,,Cpd 65: 635.0777,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,635.3534,634.0705,1,,,20140420-298.d,2.571,,,7908,,,3,Negative,-1,-1,,635.0777,,634.0705,,100,2.241,,1.924,0.277,,,2,22,,0.04,161463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,66,,,Cpd 66: 1260.1706,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1260.4456,629.0782,2,,,20140420-298.d,2.72,,,1068,,,3,Negative,-1,-2,,1260.1706,,629.0782,,80,2.552,,2.438,0.165,,,1,23,0.0018,0,20150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,67,,,Cpd 67: 1222.2243,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1222.81,610.1049,2,,,20140420-298.d,2.853,,,9992,,,6,Negative,-1,-2,,1222.2243,,610.1049,,100,2.57,,2.339,0.249,,,2,24,0.0002,0.08,318862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,68,,,Cpd 68: 1244.2067,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1244.7657,621.0961,1,,,20140420-298.d,2.836,,,1846,,,3,Negative,-2,-2,,1244.2067,,621.0961,,100,2.575,,2.405,0.227,,,2,24,,0.01,39237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,69,,,Cpd 69: 653.0882,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,653.3797,652.0809,1,,,20140420-298.d,3.284,,,11278,,,3,Negative,-1,-1,,653.0882,,652.0809,,100,2.777,,2.273,0.482,,,2,25,,0.09,374387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,70,,,Cpd 70: 675.0691,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,675.3254,674.0619,1,,,20140420-298.d,3.135,,,1962,,,2,Negative,-1,-1,,675.0691,,674.0619,,100,2.79,,2.538,0.32,,,2,25,,0.01,45416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,71,,,Cpd 71: 1222.6687,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1223.0196,610.327,1,,,20140420-298.d,3.251,,,595,,,2,Negative,-2,-2,,1222.6687,,610.327,,80,3.131,,3.036,0.147,,,7,26,,0,8123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,72,,,Cpd 72: 1260.1697,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1260.6448,629.0777,2,,,20140420-298.d,3.4,,,2511,,,5,Negative,-1,-2,,1260.1697,,629.0777,,100,3.135,,2.919,0.218,,,7,26,0.0007,0.02,98971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,73,,,Cpd 73: 1266.1870,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1266.6468,632.086,2,,,20140420-298.d,3.268,,,1001,,,4,Negative,-1,-2,,1266.187,,632.086,,100,3.136,,3.019,0.143,,,7,26,0.0009,0.01,26451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,74,,,Cpd 74: 1244.2060,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1244.7643,621.0956,2,,,20140420-298.d,3.483,,,7820,,,6,Negative,-1,-2,,1244.206,,621.0956,,100,3.141,,2.919,0.234,,,7,26,0.0011,0.05,225518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,75,,,Cpd 75: 1282.1450,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1282.3217,640.0663,2,,,20140420-298.d,3.317,,,970,,,3,Negative,-1,-2,,1282.145,,640.0663,,80,3.141,,3.019,0.159,,,7,26,0.0038,0.01,21878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,76,,,Cpd 76: 1222.2239,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1222.8018,610.1046,2,,,20140420-298.d,3.649,,,42242,,,8,Negative,-1,-2,,1222.2239,,610.1046,,100,3.141,,2.87,0.257,,,7,26,0.0008,0.31,1306097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,77,,,Cpd 77: 1087.1673,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1087.4917,542.5764,1,,,20140420-298.d,3.284,,,617,,,2,Negative,-2,-2,,1087.1673,,542.5764,,79.2,3.143,,3.019,0.163,,,7,26,,0,7060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,78,,,Cpd 78: 964.1296,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,964.532,963.1223,2,,,20140420-298.d,3.649,,,5534,,,5,Negative,-1,-2,,964.1296,,963.1223,,100,3.452,,3.284,0.18,,,1,27,0.0004,0.03,113517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,79,,,Cpd 79: 1250.2184,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1250.5282,624.1019,1,,,20140420-298.d,3.749,,,1264,,,2,Negative,-2,-2,,1250.2184,,624.1019,,80,3.585,,3.467,0.168,,,1,28,,0,18051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,80,,,Cpd 80: 1528.2483,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1528.9566,763.117,2,,,20140420-298.d,3.981,,,7425,,,5,Negative,-2,-3,,1528.2483,,763.117,,78.4,3.839,,3.583,0.22,,,2,29,0.009,0.05,203978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,81,,,Cpd 81: 1566.1975,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1566.5953,782.0915,1,,,20140420-298.d,3.948,,,753,,,2,Negative,-2,-2,,1566.1975,,782.0915,,77.6,3.852,,3.682,0.167,,,2,29,,0,11240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,82,,,Cpd 82: 982.1392,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,982.4681,981.1315,2,,,20140420-298.d,4.445,,,10203,,,5,Negative,-1,-2,,982.1392,,981.1315,,85.6,4.002,,3.782,0.2,,,1,30,0.0013,0.04,161393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,83,,,Cpd 83: 1588.1751,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1588.8571,793.0803,1,,,20140420-298.d,4.412,,,1577,,,3,Negative,-2,-2,,1588.1751,,793.0803,,100,4.245,,4.08,0.189,,,6,31,,0.01,36771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,84,,,Cpd 84: 1566.1973,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1566.8232,782.0914,1,,,20140420-298.d,4.595,,,4217,,,3,Negative,-2,-2,,1566.1973,,782.0914,,100,4.252,,4.047,0.259,,,6,31,,0.03,123095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,85,,,Cpd 85: 1550.2318,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1550.9799,774.1086,1,,,20140420-298.d,4.595,,,10558,,,4,Negative,-2,-2,,1550.2318,,774.1086,,100,4.254,,3.997,0.266,,,6,31,,0.08,343341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,86,,,Cpd 86: 1528.2491,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1528.9692,763.1173,3,,,20140420-298.d,4.81,,,51900,,,10,Negative,-1,-3,,1528.2491,,763.1173,,100,4.255,,3.997,0.28,,,6,31,0.0026,0.42,1761604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,87,,,Cpd 87: 1572.2134,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1572.8459,785.0994,1,,,20140420-298.d,4.495,,,3168,,,3,Negative,-2,-2,,1572.2134,,785.0994,,100,4.258,,4.064,0.233,,,6,31,,0.02,90554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,88,,,Cpd 88: 1416.2204,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1416.8692,707.1029,1,,,20140420-298.d,4.512,,,1555,,,3,Negative,-2,-2,,1416.2204,,707.1029,,100,4.26,,4.097,0.226,,,6,31,,0.01,42453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,89,,,Cpd 89: 1285.1708,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1285.5275,641.5781,1,,,20140420-298.d,4.528,,,662,,,2,Negative,-2,-2,,1285.1708,,641.5781,,80,4.389,,4.23,0.19,,,1,32,,0,10747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,90,,,Cpd 90: 1347.1211,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1347.4938,672.5533,1,,,20140420-298.d,5.192,,,899,,,2,Negative,-2,-2,,1347.1211,,672.5533,,75.3,4.973,,4.827,0.199,,,3,33,,0,15339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,91,,,Cpd 91: 1331.1566,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1331.7476,664.571,1,,,20140420-298.d,5.275,,,1764,,,3,Negative,-2,-2,,1331.1566,,664.571,,100,4.984,,4.777,0.266,,,3,33,,0.01,50335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,92,,,Cpd 92: 1309.1747,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1309.7617,653.58,2,,,20140420-298.d,5.357,,,8508,,,5,Negative,-1,-2,,1309.1747,,653.58,,100,4.986,,4.727,0.265,,,3,33,0.0011,0.06,275260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,93,,,Cpd 93: 1353.1344,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1353.5221,675.5599,1,,,20140420-298.d,5.158,,,645,,,2,Negative,-2,-2,,1353.1344,,675.5599,,80,5.002,,4.876,0.166,,,1,34,,0,10981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,94,,,Cpd 94: 1556.2444,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1556.6454,777.1149,1,,,20140420-298.d,5.374,,,1331,,,2,Negative,-2,-2,,1556.2444,,777.1149,,80,5.153,,4.976,0.241,,,1,35,,0.01,31728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,95,,,Cpd 95: 1299.1791,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1299.7559,648.5823,1,,,20140420-298.d,5.54,,,1336,,,3,Negative,-2,-2,,1299.1791,,648.5823,,100,5.244,,5.042,0.241,,,1,36,,0.01,29077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,96,,,Cpd 96: 1317.1912,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1317.5608,657.5883,1,,,20140420-298.d,6.369,,,985,,,2,Negative,-2,-2,,1317.1912,,657.5883,,79.1,5.911,,5.556,0.423,,,1,37,,0.01,34920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,97,,,Cpd 97: 1349.1643,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1349.6915,673.5749,1,,,20140420-298.d,6.717,,,1996,,,3,Negative,-2,-2,,1349.1643,,673.5749,,100,6.216,,5.988,0.357,,,2,38,,0.01,62587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,98,,,Cpd 98: 1327.1858,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1327.7904,662.5856,2,,,20140420-298.d,6.817,,,9326,,,6,Negative,-1,-2,,1327.1858,,662.5856,,100,6.224,,5.921,0.42,,,2,38,0.001,0.1,434687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,99,,,Cpd 99: 1355.1834,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1355.5208,676.5844,1,,,20140420-298.d,7.298,,,564,,,2,Negative,-2,-2,,1355.1834,,676.5844,,79.1,7.214,,7.099,0.13,,,1,39,,0,6829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,100,,,Cpd 100: 1589.2193,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1589.654,793.6024,1,,,20140420-298.d,7.862,,,934,,,2,Negative,-2,-2,,1589.2193,,793.6024,,78.2,7.698,,7.298,0.304,,,2,40,,0.01,26470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,101,,,Cpd 101: 1604.2219,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1605.2711,801.5961,1,,,20140420-298.d,7.895,,,838,,,3,Negative,-2,-2,,1604.2219,,801.1037,,80,7.698,,7.53,0.205,,,2,40,,0.01,25067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,102,,,Cpd 102: 1907.2360,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1907.9592,952.6107,1,,,20140420-298.d,7.945,,,2438,,,3,Negative,-2,-2,,1907.236,,952.6107,,100,7.722,,7.547,0.236,,,6,41,,0.02,77634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,103,,,Cpd 103: 1891.2682,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1892.2118,944.6268,1,,,20140420-298.d,8.028,,,4110,,,4,Negative,-2,-2,,1891.2682,,944.6268,,100,7.722,,7.514,0.269,,,6,41,,0.04,157564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,104,,,Cpd 104: 1885.2536,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1886.0768,941.6195,1,,,20140420-298.d,7.995,,,4290,,,4,Negative,-2,-2,,1885.2536,,941.6195,,100,7.728,,7.514,0.25,,,6,41,,0.03,141975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,105,,,Cpd 105: 1869.2870,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1870.2301,933.6362,1,,,20140420-298.d,8.111,,,13353,,,5,Negative,-2,-2,,1869.287,,933.6362,,100,7.729,,7.447,0.289,,,6,41,,0.13,554475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,106,,,Cpd 106: 1847.3062,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1848.2061,922.6459,3,,,20140420-298.d,8.31,,,62796,,,12,Negative,-1,-3,,1847.3062,,922.6459,,100,7.731,,7.348,0.294,,,6,41,0.0033,0.66,2814647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,107,,,Cpd 107: 1913.2499,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1913.9942,955.6177,1,,,20140420-298.d,7.961,,,1731,,,3,Negative,-2,-2,,1913.2499,,955.6177,,100,7.731,,7.547,0.232,,,6,41,,0.01,57698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,108,,,Cpd 108: 1652.1596,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1652.5347,825.0725,1,,,20140420-298.d,8.061,,,1219,,,2,Negative,-2,-2,,1652.1596,,825.0725,,80,7.865,,7.696,0.212,,,3,42,,0.01,24950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,109,,,Cpd 109: 1636.1958,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1637.0053,817.0906,1,,,20140420-298.d,8.194,,,3181,,,4,Negative,-2,-2,,1636.1958,,817.0906,,100,7.873,,7.646,0.263,,,3,42,,0.03,108645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,110,,,Cpd 110: 1614.2095,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,1614.975,806.0974,2,,,20140420-298.d,8.26,,,17190,,,8,Negative,-2,-3,,1614.2095,,806.0974,,100,7.879,,7.613,0.261,,,3,42,0.0036,0.14,609343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
